"filename", "language", "YAML", "XML", "Markdown", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/auth/ErrorDTO.java", "Java", 0, 0, 0, 0, 9, 0, 0, 3, 12
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/auth/LoginRequest.java", "Java", 0, 0, 0, 0, 11, 0, 0, 4, 15
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/auth/RegisterRequest.java", "Java", 0, 0, 0, 0, 12, 0, 0, 3, 15
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/fileProposal/FileProposalResponse.java", "Java", 0, 0, 0, 0, 19, 0, 0, 4, 23
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/fileProposal/UploadFileProposalRequest.java", "Java", 0, 0, 0, 0, 16, 0, 0, 5, 21
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/files/FileResponse.java", "Java", 0, 0, 0, 0, 20, 0, 0, 5, 25
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/files/UploadFileRequest.java", "Java", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/users/MyProfileResponse.java", "Java", 0, 0, 0, 0, 19, 0, 0, 3, 22
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/users/PublicProfileResponse.java", "Java", 0, 0, 0, 0, 14, 0, 0, 4, 18
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/presentation/dto/users/UpdateMyProfileRequest.java", "Java", 0, 0, 0, 0, 12, 0, 0, 5, 17
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/security/JwtAuthFilter.java", "Java", 0, 0, 0, 0, 49, 0, 0, 15, 64
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/security/JwtUtils.java", "Java", 0, 0, 0, 0, 48, 0, 1, 11, 60
"/home/osbby/Documents/Gradox2/gradox2/src/main/java/com/example/gradox2/security/SecurityConfig.java", "Java", 0, 0, 0, 0, 33, 0, 1, 8, 42
